,Unnamed: 0,symbol,date,close,high,low,open,volume,adjClose,adjVolume,divCash,splitFactor
17,17,,2015-06-19 00:00:00+00:00,126.6,127.82,126.4,127.71,54716887,116.6648626,54716887,0.0,1.0
18,18,,2015-06-22 00:00:00+00:00,127.61,128.06,127.08,127.49,34039345,117.5956012,34039345,0.0,1.0
19,19,,2015-06-23 00:00:00+00:00,127.03,127.61,126.8792,127.48,30268863,117.0611177,30268863,0.0,1.0
20,20,,2015-06-24 00:00:00+00:00,128.11,129.8,127.12,127.21,55280855,118.0563629,55280855,0.0,1.0
21,21,,2015-06-25 00:00:00+00:00,127.5,129.2,127.5,128.86,31938100,117.4942337,31938100,0.0,1.0
22,22,,2015-06-26 00:00:00+00:00,126.75,127.99,126.51,127.67,44066841,116.8030911,44066841,0.0,1.0
23,23,,2015-06-29 00:00:00+00:00,124.53,126.47,124.48,125.46,49161427,114.7573092,49161427,0.0,1.0
24,24,,2015-06-30 00:00:00+00:00,125.425,126.12,124.86,125.57,44370682,115.5820726,44370682,0.0,1.0
25,25,,2015-07-01 00:00:00+00:00,126.6,126.94,125.99,126.9,30238811,116.6648626,30238811,0.0,1.0
26,26,,2015-07-02 00:00:00+00:00,126.44,126.69,125.77,126.43,27210952,116.5174189,27210952,0.0,1.0
27,27,,2015-07-06 00:00:00+00:00,126.0,126.23,124.85,124.94,28060431,116.1119486,28060431,0.0,1.0
28,28,,2015-07-07 00:00:00+00:00,125.69,126.15,123.77,125.89,46946811,115.8262763,46946811,0.0,1.0
29,29,,2015-07-08 00:00:00+00:00,122.57,124.64,122.54,124.48,60761614,112.9511233,60761614,0.0,1.0
30,30,,2015-07-09 00:00:00+00:00,120.07,124.06,119.22,123.85,78595038,110.6473148,78595038,0.0,1.0
31,31,AAPL,2015-07-10 00:00:00+00:00,123.28,123.85,121.21,121.94,61354474,113.6054049,61354474,0.0,1.0
32,32,,2015-07-13 00:00:00+00:00,125.66,125.755,124.32,125.03,41440538,115.7986306,41440538,0.0,1.0
33,33,,2015-07-14 00:00:00+00:00,125.61,126.37,125.04,126.04,31768139,115.7525544,31768139,0.0,1.0
34,34,,2015-07-15 00:00:00+00:00,126.82,127.15,125.58,125.72,33649200,116.8675978,33649200,0.0,1.0
35,35,,2015-07-16 00:00:00+00:00,128.51,128.57,127.35,127.74,36222447,118.4249723,36222447,0.0,1.0
36,36,,2015-07-17 00:00:00+00:00,129.62,129.62,128.31,129.08,46164710,119.4478633,46164710,0.0,1.0
37,37,,2015-07-20 00:00:00+00:00,132.07,132.97,130.7,130.97,58900203,121.7055956,58900203,0.0,1.0
38,38,,2015-07-21 00:00:00+00:00,130.75,132.92,130.32,132.85,76756427,120.4891847,76756427,0.0,1.0
39,39,,2015-07-22 00:00:00+00:00,125.22,125.5,121.99,121.99,115450607,115.3931603,115450607,0.0,1.0
40,40,,2015-07-23 00:00:00+00:00,125.16,127.09,125.06,126.2,50999452,115.3378689,50999452,0.0,1.0
41,41,,2015-07-24 00:00:00+00:00,124.5,125.74,123.9,125.32,42162332,114.7296635,42162332,0.0,1.0
42,42,,2015-07-27 00:00:00+00:00,122.77,123.61,122.12,123.09,44455540,113.135428,44455540,0.0,1.0
43,43,,2015-07-28 00:00:00+00:00,123.38,123.91,122.55,123.38,33618097,113.6975573,33618097,0.0,1.0
44,44,,2015-07-29 00:00:00+00:00,122.99,123.5,122.27,123.15,37011653,113.3381631,37011653,0.0,1.0
